Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Katalogizované;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stav Diela;Stav záznamu;Stupeň pôvodnosti;Stupeň pôvodnosti (ident. stavu);Stupeň pôvodnosti (počet stavov);Stupeň spracovania;Technika;Typ zbierky;Vlastník;Výtvarný druh;Zapisané do evidencie;Značenie;Žáner
"Katona, Ferdinand";"1900 - 1910";"20. storočie, začiatok, 1900-1910";"13.11.1975";;;;"O 5146";"1.1.1982";"109. NK";"Beňová, Katarína";"plátno";"výška 23.5 cm; šírka 35.8 cm";"13.11.1975";"Dievča pri potoku";"Dievča pri potoku | Girl by a Brook (Preklad názvu)";"SNG";"SVK:SNG.O_5146";"POZN: ";"18011";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina s figurálnou štafážou"
"Slovenský maliar z konca 17. storočia";"1670 - 1700";"17. storočie, koniec, 1670-1700";"13.11.1975";;;;"O 5158";"1.1.1982";"109. NK";"Ludiková, Zuzana";"drevo";"výška 32.4 cm; šírka 27.0 cm";"13.11.1975";"Svätá Cecília";"Svätá Cecília | Saint Cecilia (Preklad názvu)";"SNG";"SVK:SNG.O_5158";"POZN: ";"18077";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
"Neznámy maliar";"1770 - 1800";"18. storočie, 2. polovica, 1770-1800";"13.11.1975";"súčasť série portrétov uhorských kráľov a vojvodov O 5339,O 5360-67";;;"O 5159";"1.1.1982";"109. NK";"Chmelinová, Katarína";"plátno";"výška 43.0 cm; šírka 30.0 cm";"13.11.1975";"Uhorský kráľ Rudolf I.";"Uhorský kráľ Rudolf I. | Ugrian King Rudolph I.  (Preklad názvu)";"SNG";"SVK:SNG.O_5159";"POZN: ";"18076";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"dole: Rudolphus I.REX HUNGAR CORONAT 1572 OBIIT 1609";"portrét"
"Neznámy maliar";"1700 - 1800";"18. storočie, 1700-1800";"13.11.1975";"oltárny obraz";;;"O 5160";"1.1.1982";"109. NK";"Chmelinová, Katarína";"plátno";"výška 144.5 cm; šírka 125.5 cm";"13.11.1975";"Svätá Anna Samotretia";"Svätá Anna Samotretia | Virgin and Child with Saint Anne (Preklad názvu)";"SNG";"SVK:SNG.O_5160";"POZN: ";"18078";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz oltárny";;"neznačené";"figurálna kompozícia"
"Troger, Paul - okruh autora";"1700 - 1750";"18. storočie, 1. polovica, 1700-1750";"13.11.1975";;;;"O 5166";"1.1.1982";"109. NK";"Chmelinová, Katarína";"plátno";"výška 119.0 cm; šírka 159.0 cm";"13.11.1975";"Prechod Izraelitov cez Červené more";"Prechod Izraelitov cez Červené more | The Israelites Cross the Red Sea (Preklad názvu)";"SNG";"SVK:SNG.O_5166";"POZN: ";"18124";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina s figurálnou kompozíciou"
"Murillo, Bartolomé Estebán - okruh autora";"1650 - 1700";"17. storočie, 2. polovica, 1650-1700";"13.11.1975";;;;"O 5167";"1.1.1983";"109. NK";"Ludiková, Zuzana";"plátno";"výška 119.0 cm; šírka 159.0 cm";"13.11.1975";"Na ceste do Egypta";"Na ceste do Egypta | Flight into Egypt (Preklad názvu)";"SNG";"SVK:SNG.O_5167";"POZN: ";"18146";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Bohúň, Peter Michal";"1865";"19. storočie, 2. polovica, 1865 okolo";"21.7.1952";;;;"O 516";"1.1.1982";"10. NK";"Beňová, Katarína";"plátno";"výška 96.5 cm; šírka 70.0 cm";"21.7.1952";"Podobizeň Berca Lokšanského";"Podobizeň Berca Lokšanského | Portrait of Berco Lokšanský (Preklad názvu)";"SNG";"SVK:SNG.O_516";"POZN: Cena uvedená v starej mene.";"146";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo dole: P.Bohúň";"portrét"
"Mednyánszky, Ladislav";"1877 - 1880";"19. storočie, 2. polovica, 1877-1880";"1.1.1976";;;;"O 5172";"1.1.1985";"109. NK";"Beňová, Katarína";"lepenka; plátno";"výška 47.3 cm; šírka 33.7 cm";"1.1.1976";"Odmäk";"Odmäk | Thaw (Preklad názvu)";"SNG";"SVK:SNG.O_5172";"POZN: 

LIT:
Ladislav Mednyánszky. 1852-1919. Bratislava : Slovak National Gallery and Slovart, 2004, 472.";"20020";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Mednyánszky -";"krajina"
"Horovitz, Leopold";"1890 - 1900";"19. storočie, koniec, 1890-1900";"25.11.1975";;;;"O 5191";"1.1.1982";"110. NK";"Beňová, Katarína";"plátno";"výška 53.0 cm; šírka 58.0 cm";"25.11.1975";"Štúdia ženskej hlavy";"Štúdia ženskej hlavy | Head Study of a Woman (Preklad názvu)";"SNG";"SVK:SNG.O_5191";"POZN: ";"20050";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Horovitz, Leopold";"1850 - 1900";"19. storočie, 2. polovica, 1850-1900";"25.11.1975";;;;"O 5192";"1.1.1982";"110. NK";"Beňová, Katarína";"plátno";"výška 41.0 cm; šírka 33.0 cm";"25.11.1975";"Štúdia mužskej hlavy";"Štúdia mužskej hlavy | Head Study of a Man (Preklad názvu)";"SNG";"SVK:SNG.O_5192";"POZN: ";"20051";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"na zadnej strane: Tannlssány Horovitz Lipóttól - štúdia Leopolda Horovitza-autorovapoznámka....";"portrét"
"Lehotský, Karol Miloslav";"1900 - 1910";"20. storočie, začiatok, 1900-1910";"1.1.1952";;;;"O 521";"1.1.1981";"10. NK";"Beňová, Katarína";"preglejka; plátno";"16: výška cm; 17: šírka cm";"1.1.1952";"Rybník";"Rybník | Lake (Preklad názvu)";"SNG";"SVK:SNG.O_521";"POZN: ";"1271";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: K.M.Lehotský";"krajina"
"Lehotský, Karol Miloslav";"1900 - 1910";"20. storočie, začiatok, 1900-1910";"1.1.1952";;;;"O 522";"1.1.1981";"10. NK";"Beňová, Katarína";"preglejka; plátno";"výška 18.5 cm; šírka 17.5 cm";"1.1.1952";"Náčrt krajiny so stromom v popredí";"Náčrt krajiny so stromom v popredí | Sketch of a Landscape with a Tree in a Foreground (Preklad názvu)";"SNG";"SVK:SNG.O_522";"POZN: ";"1272";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo hore: K.M.Lehotský";"krajina"
"Pitthordt, Ľudovít";"1930";"20. storočie, 1. polovica, 1930";"21.7.1952";;;;"O 523";"1.1.1979";"10. NK";"Beňová, Katarína";"lepenka";"výška 68.0 cm; šírka 51.3 cm";"21.7.1952";"Podobizeň vinohradníka";"Podobizeň vinohradníka | Portrait of a Vine-Dresser (Preklad názvu)";"SNG";"SVK:SNG.O_523";"POZN: Cena uvedená v starej mene.";"1273";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Pitthordt";"portrét"
"Hanula, Jozef";"1894 - 1895";"19. storočie, koniec, 1894-1895";;;;;"O 5243";"1.1.1994";;"Beňová, Katarína";"plátno";"výška 52.7 cm; šírka 39.4 cm";"23.5.1975";"Štúdia ženskej hlavy";"Štúdia ženskej hlavy | Head Study of a Woman (Preklad názvu)";"SNG";"SVK:SNG.O_5243";"POZN: ";"175622";"prevod";"";"Dielo katalogizované";"originál";;;;"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";""
"Hanula, Jozef";"1902";"20. storočie, začiatok, 1902";;;;;"O 5281";"1.1.1978";;"Beňová, Katarína";"drevo";"výška 76.8 cm; šírka 55.5 cm";"23.5.1975";"Podobizeň ženy v kroji";"Podobizeň ženy v kroji | Portrait of a Woman in a Folk Costume (Preklad názvu)";"SNG";"SVK:SNG.O_5281";"POZN: ";"17618";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo hore: Hanula 902";"portrét"
"Bohúň, Peter Michal";"1875";"19. storočie, 2. polovica, 1875";;;;;"O 5297";"1.1.1988";;"Beňová, Katarína";"plátno";"výška 93.0 cm; šírka 69.5 cm";"1.1.1975";"Pavlína Mešková, rod. Jesenská";"Pavlína Mešková, rod. Jesenská | Podobizeň pani Meškovej; Pavlína Mešková, née Jesenská (Preklad názvu)";"SNG";"SVK:SNG.O_5297";"POZN: ";"17514";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo dole: P Boh��ň 1875";"portrét"
"Bohúň, Peter Michal";"1801 - 1900";"19. storočie";;;;;"O 5298";"1.1.1989";;"Beňová, Katarína";"plátno";"výška 63.0 cm; šírka 51.0 cm";"23.5.1975";"Portrét stareny";"Portrét stareny | Portrait of an Old Woman (Preklad názvu)";"SNG";"SVK:SNG.O_5298";"POZN: ";"17516";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo dole: Bň";"portrét"
"Bohúň, Peter Michal";"1849 - 1850";"19. storočie, polovica, 1849-1850";;;;;"O 5301";"1.1.1988";;"Beňová, Katarína";"plátno";"výška 49.0 cm; šírka 39.2 cm";"1.1.1975";"J.Francisci ako kapitán slovenských dobrovoľníkov";"J.Francisci ako kapitán slovenských dobrovoľníkov | Portrait of Ján Francisci as Captain of the Slovak Volunteers (Preklad názvu)";"SNG";"SVK:SNG.O_5301";"POZN: 

LIT: 111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 132-133.
Dve krajiny, SNG : Bratislava 2014, kat. s. 213";"17615";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"v ľavom dolnom rohu: P.BHN a nečitateľný dátum";"portrét | Hory | Ľudia"
"Bohúň, Peter Michal";"1848 - 1849";"19. storočie, polovica, 1848-1849";;;;;"O 5302";"1.1.1989";;"Beňová, Katarína";"plátno";"výška 28.8 cm; šírka 40.0 cm";"23.5.1975";"Zhromaždenie slovenského ľudu z jari 1848";"Zhromaždenie slovenského ľudu z jari 1848 | of Slovak People from Spring 1848 (Preklad názvu)";"SNG";"SVK:SNG.O_5302";"POZN: ";"17618";"prevod";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"ceruza; olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"historický motív"
"Mildorfer, Josef Ignaz";"1763 - 1764";"18. storočie, 2. polovica, 1763-1764";;"oltárny obraz";;;"O 5304";"1.1.1982";;"Chmelinová, Katarína";"plátno";"výška 332.0 cm; šírka 165.0 cm";"23.5.1975";"Svätý Jozef";"Svätý Jozef | St. Joseph with a Child  (Preklad názvu); Sv. Jozef s dieťatom";"SNG";"SVK:SNG.O_5304";"POZN: Zíkané kúpou v roku v roku 1975. 1984 reštauroval J. Beňušík.

LIT:
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 124.";"17609";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"náboženský motív"
"Neznámy maliar";"1700 - 1800";"18. storočie, 1700-1800";;;;;"O 5305";"1.1.1982";;"Chmelinová, Katarína";"plátno";"výška 272.0 cm; šírka 159.5 cm";"23.5.1975";"Všetci svätí";"Všetci svätí | All Saints (Preklad názvu)";"SNG";"SVK:SNG.O_5305";"POZN: ";"17610";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz oltárny";;"vzadu: prostredok";"náboženský motív"
"Mildorfer, Josef Ignaz - pravdepodobne";"1763 - 1764";"18. storočie, 2. polovica, 1763-1764";;;;;"O 5306";"1.1.1982";;"Chmelinová, Katarína";"plátno";"výška 141.0 cm; šírka 200.0 cm";"23.5.1975";"Narodenie Krista";"Narodenie Krista | Birth of Christ  (Preklad názvu); Narodenie (Predchádzajúci názov)";"SNG";"SVK:SNG.O_5306";"POZN: Získané kúpou v roku v roku 1975. Reštaurované v rokoch 1993-1994.

LIT:
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 124-125.";"17611";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"náboženský motív"
"Neznámy autor";"1770 - 1800";"18. storočie, 2. polovica, 1770-1800";;;;;"O 5307";"1.1.1982";;"Chmelinová, Katarína";"plátno";"výška 169.5 cm; šírka 157.5 cm";"23.5.1975";"Svätá Anna s Máriou";"Svätá Anna s Máriou | výuka Panny Márie (Sv. Anna) - rešt. protokol (Preklad názvu); Saint Anne with Mary (Preklad názvu)";"SNG";"SVK:SNG.O_5307";"POZN: ";"17612";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz oltárny";;"vzadu: DS 3";"náboženský motív"
"Belopotocký, František";"1844";"19. storočie, 1. polovica, 1844";;;;;"O 5309";"1.1.1994";;"Beňová, Katarína";"plátno";"výška 34.2 cm; šírka 26.8 cm";"23.5.1975";"Podobizeň kňaza";"Podobizeň kňaza | Portrait of a Priest (Preklad názvu)";"SNG";"SVK:SNG.O_5309";"POZN: ";"17512";"prevod";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo dole: Belopototzky 1844";"portrét"
"Zanussi, Jozef - pravdepodobne";"1760 - 1770";"18. storočie, 2. polovica,  okolo 1770";"19.10.1976";;;;"O 5317";"1.1.1989";"116. NK";"Chmelinová, Katarína";"plátno";"výška 52.0 cm; šírka 44.0 cm";"19.10.1976";"Vzkriesenie Krista";"Vzkriesenie Krista | Vzkriesený Kristus (Predchádzajúci názov); Resurrection of Jesus (Preklad názvu)";"SNG";"SVK:SNG.O_5317";"POZN:  Skica k nástropnej maľbe";"20130";"kúpa";"";"Dielo katalogizované";"originál";;;"skica";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"";"náboženský motív"
"Wilkie, David";"1830 - 1840";"19. storočie, 1. polovica, 1830-1840";"19.10.1976";;;;"O 5335";"1.1.1983";"116. NK";"Ludiková, Zuzana";"plátno";"výška 87.3 cm; šírka 71.7 cm";"19.10.1976";"Podobizeň mladého muža";"Podobizeň mladého muža | Portrait of a Young Man (Preklad názvu)";"SNG";"SVK:SNG.O_5335";"POZN: rešt. Mária Ďuricová, 1997 – 1998 (RP 382)";"20186";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Nesterov, Michail Vasiljevič";"1893";"19. storočie, 2. polovica, 1893";"1.1.1976";;;;"O 5336";"1.1.1988";"116. NK";"Beňová, Katarína";"plátno";"výška : 51.5 cm; šírka : 39.5 cm";"1.1.1976";"Mníšky";"Mníšky | Nuns (Preklad názvu)";"SNG";"SVK:SNG.O_5336";"POZN: ";"20183";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo hore: (azbukou) M.Nesterov 1893";"figurálna kompozícia"
"Stredoeurópsky maliar z 18. storočia";"1750 - 1800";"18. storočie, 2. polovica, 1750-1800";"1.1.1976";;;;"O 5338";"1.1.1988";"116. NK";"Chmelinová, Katarína";"plátno";"výška : 78.0 cm; šírka : 147.0 cm";"1.1.1976";"Návrh na lunetovú výzdobu";"Návrh na lunetovú výzdobu | Design for Lunette Decoration (Preklad názvu)";"SNG";"SVK:SNG.O_5338";"POZN: 


";"20158";"kúpa";"";"Dielo katalogizované";"originál";;;"návrh";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Neznámy maliar";"1700 - 1800";"18. storočie, 1700-1800";"19.10.1976";"súčasť série portrétov uhorských kráľov a vojvodov O 5339,O 5360-67";;;"O 5339";"1.1.1982";"116. NK";"Chmelinová, Katarína";"plátno; preglejka";"výška 43.0 cm; šírka 29.8 cm";"19.10.1976";"Bela III.";"Bela III. | Béla III (Preklad názvu)";"SNG";"SVK:SNG.O_5339";"POZN: ";"20175";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"dole: BEL III.XVI.REX HUNGAR CORONATUS OBIIT 1196";"portrét"
"Boehm, Joseph Edgar";"1850 - 1880";"";"19.10.1976";;;;"O 5340";"1.1.1989";"116. NK";"Beňová, Katarína";"plátno";"42: výška cm; 53: šírka cm";"19.10.1976";"Alpská krajina s člnom";"Alpská krajina s člnom | Alpine Landscape with a Boat (Preklad názvu)";"SNG";"SVK:SNG.O_5340";"POZN: ";"20181";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo dole: E. Boehm";"krajina"
"Boehm, Joseph Edgar";"1850 - 1860";"19. storočie, 2. polovica, 1850-1860";"1.1.1976";;;;"O 5341";"1.1.1988";"116. NK";"Beňová, Katarína";"plátno";"výška : 53.0 cm; šírka: 42.5 cm";"1.1.1976";"Horský potok s rybárom";"Horský potok s rybárom | Mountain Brook with a Fisherman (Preklad názvu)";"SNG";"SVK:SNG.O_5341";"POZN: tiež Böhm";"20182";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo dole: E.Boehm";"krajina s figurálnou štafážou"
"Ruský ikonopisec";"1700 - 1800";"18. storočie, 1700-1800";"1.1.1976";;;;"O 5343";"1.1.1988";"116. NK";"Chmelinová, Katarína";"tabuľa, drevená";"výška : 44.5 cm; šírka : 36.5 cm";"1.1.1976";"Ukrižovanie- Ikona so svätými postavami";"Ukrižovanie- Ikona so svätými postavami | Crucifixion - Icon with Saint Figures (Preklad názvu)";"SNG";"SVK:SNG.O_5343";"POZN: 

";"20179";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"emailovanie; tempera; zlátenie";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, ikona";;"v obraze: nápisy v staroslovienčine";""
"Východoslovenský maliar z 19. storočia";"1800 - 1900";"19. storočie, 1800-1900";"19.10.1976";;;;"O 5344";"1.1.1989";"116. NK";"Beňová, Katarína";"drevo";"výška 35.0 cm";"19.10.1976";"Svätý Mikuláš";"Svätý Mikuláš | Svätec v brokátovom ornáte (Predchádzajúci názov)";"SNG";"SVK:SNG.O_5344";"POZN: ";"20150";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová, ikona";;"";""
"Východoslovenský maliar z 19. storočia";"1800 - 1900";"19. storočie, 1800-1900";"19.10.1976";;;;"O 5345";"1.1.1989";"116. NK";"Beňová, Katarína";"drevo";"50,4: výška cm; 40: šírka cm";"19.10.1976";"Svätý Konštantín Veľký";"Svätý Konštantín Veľký | Svätý Pavol (Predchádzajúci názov)";"SNG";"SVK:SNG.O_5345";"POZN: ";"20151";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová, ikona";;"";""
"Katona, Ferdinand";"1900 - 1910";"20. storočie, začiatok, 1900-1910";"19.10.1976";;;;"O 5346";"1.1.1988";"116. NK";"Beňová, Katarína";"drevo";"výška : 34.0 cm; šírka : 23.0 cm";"19.10.1976";"Krajinka";"Krajinka | Landscape (Preklad názvu)";"SNG";"SVK:SNG.O_5346";"POZN: ";"20174";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Katona Nandor";"krajina s figurálnym motívom"
"Čordák, Ľudovít";"1910 - 1930";"20. storočie, 1. polovica, 1920 okolo";"1.1.1976";;;;"O 5347";"1.1.1976";"116. NK";"Beňová, Katarína";"plátno";"výška 58.0 cm; šírka 72.0 cm";"1.1.1976";"Modré údolie";"Modré údolie | Blue Valley (Preklad názvu)";"SNG";"SVK:SNG.O_5347";"POZN: ";"20154";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: Csordák";"krajina"
"Zemplényi, Teodor";"1890";"19. storočie, koniec, 1890";"1.1.1976";;;;"O 5348";"1.1.1988";"116. NK";"Beňová, Katarína";"plátno";"výška : 85.5 cm; šírka : 85.5 cm";"1.1.1976";"Figurálna kompozícia";"Figurálna kompozícia | Figural Composition (Preklad názvu)";"SNG";"SVK:SNG.O_5348";"POZN: 
";"20155";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
